t	roll	pitch	yaw
1339.8950	0.0155	0.2625	1.8491
1339.9000	-0.0222	0.0011	1.8549
1339.9050	-0.0222	0.0011	1.8549
1339.9100	0.1574	-0.1235	1.8606
1339.9150	0.1574	-0.1235	1.8606
1339.9200	0.0014	-0.0160	1.8667
1339.9250	0.0014	-0.0160	1.8667
1339.9300	0.0014	-0.0160	1.8667
1339.9350	0.1251	-0.0363	1.8726
1339.9400	-0.2767	0.0050	1.8786
1339.9450	-0.2767	0.0050	1.8786
1339.9500	-0.0151	-0.1505	1.8845
1339.9550	-0.0151	-0.1505	1.8845
1339.9600	-0.0253	-0.1542	1.8904
1339.9650	-0.0253	-0.1542	1.8904
1339.9700	0.0689	-0.2845	1.8961
1339.9750	0.0689	-0.2845	1.8961
1339.9800	0.0274	-0.0024	1.9021
1339.9850	0.0274	-0.0024	1.9021
1339.9900	0.1977	-0.4581	1.9072
1339.9950	0.1977	-0.4581	1.9072
1340.0000	-0.0020	-0.0062	1.9139
1340.0050	-0.0020	-0.0062	1.9139
1340.0100	-0.0092	-0.0050	1.9198
1340.0150	-0.0092	-0.0050	1.9198
1340.0200	0.0299	0.0552	1.9258
1340.0250	0.0299	0.0552	1.9258
1340.0300	-0.0146	-0.0386	1.9317
1340.0350	-0.0146	-0.0386	1.9317
1340.0400	-0.0323	0.0064	1.9375
1340.0450	-0.0323	0.0064	1.9375
1340.0500	-0.1562	0.2235	1.9432
1340.0550	-0.1562	0.2235	1.9432
1340.0600	0.1375	0.0006	1.9493
1340.0650	0.1375	0.0006	1.9493
1340.0700	-0.0041	-0.0315	1.9552
1340.0750	-0.0041	-0.0315	1.9552
1340.0800	-0.0065	-0.0026	1.9611
1340.0850	-0.0065	-0.0026	1.9611
1340.0900	0.0444	0.1252	1.9671
1340.0950	0.0444	0.1252	1.9671
1340.1000	-0.0423	-0.0641	1.9730
1340.1050	-0.0423	-0.0641	1.9730
1340.1100	0.1029	0.3301	1.9792
1340.1150	0.1029	0.3301	1.9792
1340.1200	-0.0303	-0.0090	1.9847
1340.1250	-0.0303	-0.0090	1.9847
1340.1300	-0.2747	-0.4957	1.9918
1340.1350	-0.2747	-0.4957	1.9918
1340.1400	-0.0014	-0.0138	1.9965
1340.1450	-0.0014	-0.0138	1.9965
1340.1500	0.0957	0.0428	2.0025
1340.1550	0.0957	0.0428	2.0025
1340.1600	-0.0132	0.0066	2.0083
1340.1650	-0.0132	0.0066	2.0083
1340.1700	-0.0021	0.0013	2.0142
1340.1750	-0.0021	0.0013	2.0142
1340.1800	0.2534	-0.1437	2.0198
1340.1850	0.2534	-0.1437	2.0198
1340.1900	0.1638	0.2117	2.0189
1340.1950	0.1638	0.2117	2.0189
1340.2000	0.1013	0.3144	2.0089
1340.2050	0.1013	0.3144	2.0089
1340.2100	0.2368	0.4700	1.9999
1340.2150	0.2368	0.4700	1.9999
1340.2200	0.3067	-0.0416	2.0153
1340.2250	0.3067	-0.0416	2.0153
1340.2300	0.1393	0.1536	2.0348
1340.2350	0.1393	0.1536	2.0348
1340.2400	0.1782	-0.1323	2.0548
1340.2450	0.1782	-0.1323	2.0548
1340.2500	0.4234	-0.0109	1.5184
1340.2550	0.4234	-0.0109	1.5184
1340.2600	0.1768	-0.0249	0.9119
1340.2650	0.1768	-0.0249	0.9119
1340.2700	0.1663	0.1700	0.3050
1340.2750	0.1663	0.1700	0.3050
1340.2800	0.1897	0.1481	-0.3008
1340.2850	0.1897	0.1481	-0.3008
1340.2900	0.1691	0.1714	-0.9067
1340.2950	0.1691	0.1714	-0.9067
1340.3000	0.1614	0.1871	-1.5122
1340.3050	0.1614	0.1871	-1.5122
1340.3100	0.0874	0.1548	-2.1179
1340.3150	0.0874	0.1548	-2.1179
1340.3200	0.1757	0.2217	-2.7225
1340.3250	0.1757	0.2217	-2.7225
1340.3300	0.1045	0.1832	-3.3277
1340.3350	0.1045	0.1832	-3.3277
1340.3400	0.1300	0.2389	-3.9323
1340.3450	0.1300	0.2389	-3.9323
1340.3500	0.0896	0.4212	-4.5374
1340.3550	0.0896	0.4212	-4.5374
1340.3600	0.2484	0.2160	-5.1399
1340.3650	0.2484	0.2160	-5.1399
1340.3700	-0.0517	0.1767	-5.7462
1340.3750	-0.0517	0.1767	-5.7462
1340.3800	-0.4130	0.0406	-6.3520
1340.3850	-0.4130	0.0406	-6.3520
1340.3900	0.1850	0.2245	-6.9518
1340.3950	0.1850	0.2245	-6.9518
1340.4000	0.1391	0.0939	-7.5556
1340.4050	0.1391	0.0939	-7.5556
1340.4100	0.2053	0.2395	-8.1584
1340.4150	0.2053	0.2395	-8.1584
1340.4200	0.1426	0.1280	-8.7619
1340.4250	0.1426	0.1280	-8.7619
1340.4300	-0.0993	-0.1360	-9.3660
1340.4350	-0.0993	-0.1360	-9.3660
