x_1	x_2	x_3	x_4	x_5	x_6	x_7	x_8	x_9	x_10	x_11	x_12	xref_1	xref_2	xref_3	xref_4	xref_5	xref_6	xref_7	xref_8	xref_9	xref_10	xref_11	xref_12	u_1	u_2	u_3	u_4
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7994	500.0000	138.8251
0.0000	-0.0000	0.0000	0.0000	-0.0000	0.0001	-0.2118	0.0000	-0.0386	14.6204	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.1387	0.0000	-0.0386	14.6206	0.0000	-15.4276	0.0000	0.0000	10000000000.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	500.0000	167.7997	500.0000	138.8251
