t	x_1	x_2	xref_1	xref_2	u_1
131	2.5934	0.4636	8.0000	8.0000	10.0000
132	2.6107	0.4683	8.0000	8.0000	10.0000
133	2.6280	0.4731	8.0000	8.0000	10.0000
134	2.6453	0.4778	8.0000	8.0000	10.0000
135	2.6625	0.4826	8.0000	8.0000	10.0000
136	2.6798	0.4873	8.0000	8.0000	10.0000
137	2.6970	0.4921	8.0000	8.0000	10.0000
138	2.7141	0.4969	8.0000	8.0000	10.0000
139	2.7313	0.5017	8.0000	8.0000	10.0000
140	2.7484	0.5065	8.0000	8.0000	10.0000
141	2.7655	0.5113	8.0000	8.0000	10.0000
142	2.7826	0.5161	8.0000	8.0000	10.0000
143	2.7996	0.5209	8.0000	8.0000	10.0000
144	2.8166	0.5257	8.0000	8.0000	10.0000
145	2.8336	0.5306	8.0000	8.0000	10.0000
146	2.8506	0.5354	8.0000	8.0000	10.0000
147	2.8675	0.5403	8.0000	8.0000	10.0000
148	2.8844	0.5452	8.0000	8.0000	10.0000
149	2.9013	0.5500	8.0000	8.0000	10.0000
150	2.9182	0.5549	8.0000	8.0000	10.0000
151	2.9350	0.5598	8.0000	8.0000	10.0000
152	2.9518	0.5647	8.0000	8.0000	10.0000
153	2.9686	0.5696	8.0000	8.0000	10.0000
154	2.9854	0.5745	8.0000	8.0000	10.0000
155	3.0021	0.5795	8.0000	8.0000	10.0000
156	3.0188	0.5844	8.0000	8.0000	10.0000
157	3.0355	0.5893	8.0000	8.0000	10.0000
158	3.0522	0.5943	8.0000	8.0000	10.0000
159	3.0688	0.5993	8.0000	8.0000	10.0000
160	3.0854	0.6042	8.0000	8.0000	10.0000
161	3.1020	0.6092	8.0000	8.0000	10.0000
162	3.1186	0.6142	8.0000	8.0000	10.0000
163	3.1351	0.6192	8.0000	8.0000	10.0000
164	3.1517	0.6242	8.0000	8.0000	10.0000
165	3.1682	0.6292	8.0000	8.0000	10.0000
166	3.1846	0.6342	8.0000	8.0000	10.0000
167	3.2011	0.6392	8.0000	8.0000	10.0000
168	3.2175	0.6442	8.0000	8.0000	10.0000
169	3.2339	0.6493	8.0000	8.0000	10.0000
170	3.2503	0.6543	8.0000	8.0000	10.0000
171	3.2667	0.6594	8.0000	8.0000	10.0000
172	3.2830	0.6644	8.0000	8.0000	10.0000
173	3.2993	0.6695	8.0000	8.0000	10.0000
174	3.3156	0.6746	8.0000	8.0000	10.0000
175	3.3318	0.6796	8.0000	8.0000	10.0000
176	3.3481	0.6847	8.0000	8.0000	10.0000
177	3.3643	0.6898	8.0000	8.0000	10.0000
178	3.3805	0.6949	8.0000	8.0000	10.0000
179	3.3967	0.7000	8.0000	8.0000	10.0000
180	3.4128	0.7051	8.0000	8.0000	10.0000
181	3.4290	0.7102	8.0000	8.0000	10.0000
182	3.4451	0.7154	8.0000	8.0000	10.0000
183	3.4612	0.7205	8.0000	8.0000	10.0000
184	3.4772	0.7256	8.0000	8.0000	10.0000
185	3.4933	0.7308	8.0000	8.0000	10.0000
186	3.5093	0.7359	8.0000	8.0000	10.0000
187	3.5253	0.7411	8.0000	8.0000	10.0000
188	3.5413	0.7463	8.0000	8.0000	10.0000
189	3.5572	0.7514	8.0000	8.0000	10.0000
190	3.5732	0.7566	8.0000	8.0000	10.0000
191	3.5891	0.7618	8.0000	8.0000	10.0000
192	3.6050	0.7670	8.0000	8.0000	10.0000
193	3.6208	0.7722	8.0000	8.0000	10.0000
194	3.6367	0.7774	8.0000	8.0000	10.0000
195	3.6525	0.7826	8.0000	8.0000	10.0000
196	3.6683	0.7878	8.0000	8.0000	10.0000
197	3.6841	0.7930	8.0000	8.0000	10.0000
198	3.6999	0.7983	8.0000	8.0000	10.0000
199	3.7156	0.8035	8.0000	8.0000	10.0000
200	3.7313	0.8087	8.0000	8.0000	10.0000
201	3.7470	0.8140	8.0000	8.0000	10.0000
202	3.7627	0.8192	8.0000	8.0000	10.0000
203	3.7784	0.8245	8.0000	8.0000	10.0000
204	3.7940	0.8297	8.0000	8.0000	10.0000
205	3.8096	0.8350	8.0000	8.0000	10.0000
206	3.8252	0.8403	8.0000	8.0000	10.0000
207	3.8408	0.8456	8.0000	8.0000	10.0000
208	3.8564	0.8508	8.0000	8.0000	10.0000
209	3.8719	0.8561	8.0000	8.0000	10.0000
210	3.8874	0.8614	8.0000	8.0000	10.0000
211	3.9029	0.8667	8.0000	8.0000	10.0000
212	3.9184	0.8720	8.0000	8.0000	10.0000
213	3.9339	0.8774	8.0000	8.0000	10.0000
214	3.9493	0.8827	8.0000	8.0000	10.0000
215	3.9647	0.8880	8.0000	8.0000	10.0000
216	3.9801	0.8933	8.0000	8.0000	10.0000
217	3.9955	0.8987	8.0000	8.0000	10.0000
218	4.0109	0.9040	8.0000	8.0000	10.0000
219	4.0262	0.9093	8.0000	8.0000	10.0000
220	4.0415	0.9147	8.0000	8.0000	10.0000
221	4.0568	0.9200	8.0000	8.0000	10.0000
222	4.0721	0.9254	8.0000	8.0000	10.0000
223	4.0874	0.9308	8.0000	8.0000	10.0000
224	4.1026	0.9361	8.0000	8.0000	10.0000
225	4.1179	0.9415	8.0000	8.0000	10.0000
226	4.1331	0.9469	8.0000	8.0000	10.0000
227	4.1482	0.9523	8.0000	8.0000	10.0000
228	4.1634	0.9577	8.0000	8.0000	10.0000
229	4.1786	0.9631	8.0000	8.0000	10.0000
230	4.1937	0.9685	8.0000	8.0000	10.0000
231	4.2088	0.9739	8.0000	8.0000	10.0000
232	4.2239	0.9793	8.0000	8.0000	10.0000
233	4.2390	0.9847	8.0000	8.0000	10.0000
234	4.2540	0.9901	8.0000	8.0000	10.0000
235	4.2691	0.9955	8.0000	8.0000	10.0000
236	4.2841	1.0010	8.0000	8.0000	10.0000
237	4.2991	1.0064	8.0000	8.0000	10.0000
238	4.3141	1.0118	8.0000	8.0000	10.0000
239	4.3290	1.0173	8.0000	8.0000	10.0000
240	4.3440	1.0227	8.0000	8.0000	10.0000
241	4.3589	1.0282	8.0000	8.0000	10.0000
242	4.3738	1.0336	8.0000	8.0000	10.0000
243	4.3887	1.0391	8.0000	8.0000	10.0000
244	4.4036	1.0445	8.0000	8.0000	10.0000
245	4.4184	1.0500	8.0000	8.0000	10.0000
246	4.4333	1.0555	8.0000	8.0000	10.0000
247	4.4481	1.0610	8.0000	8.0000	10.0000
248	4.4629	1.0664	8.0000	8.0000	10.0000
249	4.4777	1.0719	8.0000	8.0000	10.0000
250	4.4924	1.0774	8.0000	8.0000	10.0000
251	4.5072	1.0829	8.0000	8.0000	10.0000
252	4.5219	1.0884	8.0000	8.0000	10.0000
253	4.5366	1.0939	8.0000	8.0000	10.0000
254	4.5513	1.0994	8.0000	8.0000	10.0000
255	4.5660	1.1049	8.0000	8.0000	10.0000
256	4.5807	1.1104	8.0000	8.0000	10.0000
257	4.5953	1.1160	8.0000	8.0000	10.0000
258	4.6099	1.1215	8.0000	8.0000	10.0000
259	4.6245	1.1270	8.0000	8.0000	10.0000
260	4.6391	1.1325	8.0000	8.0000	10.0000
261	4.6537	1.1381	8.0000	8.0000	10.0000
262	4.6683	1.1436	8.0000	8.0000	10.0000
263	4.6828	1.1492	8.0000	8.0000	10.0000
264	4.6973	1.1547	8.0000	8.0000	10.0000
265	4.7118	1.1603	8.0000	8.0000	10.0000
266	4.7263	1.1658	8.0000	8.0000	10.0000
267	4.7408	1.1714	8.0000	8.0000	10.0000
268	4.7552	1.1769	8.0000	8.0000	10.0000
269	4.7697	1.1825	8.0000	8.0000	10.0000
270	4.7841	1.1881	8.0000	8.0000	10.0000
271	4.7985	1.1937	8.0000	8.0000	10.0000
272	4.8129	1.1992	8.0000	8.0000	10.0000
273	4.8273	1.2048	8.0000	8.0000	10.0000
274	4.8416	1.2104	8.0000	8.0000	10.0000
275	4.8560	1.2160	8.0000	8.0000	10.0000
276	4.8703	1.2216	8.0000	8.0000	10.0000
277	4.8846	1.2272	8.0000	8.0000	10.0000
278	4.8989	1.2328	8.0000	8.0000	10.0000
279	4.9131	1.2384	8.0000	8.0000	10.0000
280	4.9274	1.2440	8.0000	8.0000	10.0000
281	4.9416	1.2496	8.0000	8.0000	10.0000
282	4.9559	1.2552	8.0000	8.0000	10.0000
283	4.9701	1.2608	8.0000	8.0000	10.0000
284	4.9842	1.2665	8.0000	8.0000	10.0000
285	4.9984	1.2721	8.0000	8.0000	10.0000
286	5.0126	1.2777	8.0000	8.0000	10.0000
287	5.0267	1.2833	8.0000	8.0000	10.0000
288	5.0408	1.2890	8.0000	8.0000	10.0000
289	5.0550	1.2946	8.0000	8.0000	10.0000
290	5.0690	1.3002	8.0000	8.0000	10.0000
291	5.0831	1.3059	8.0000	8.0000	10.0000
292	5.0972	1.3115	8.0000	8.0000	10.0000
293	5.1112	1.3172	8.0000	8.0000	10.0000
294	5.1253	1.3228	8.0000	8.0000	10.0000
295	5.1393	1.3285	8.0000	8.0000	10.0000
296	5.1533	1.3342	8.0000	8.0000	10.0000
297	5.1673	1.3398	8.0000	8.0000	10.0000
298	5.1812	1.3455	8.0000	8.0000	10.0000
299	5.1952	1.3512	8.0000	8.0000	10.0000
300	5.2091	1.3568	8.0000	8.0000	10.0000
301	5.2230	1.3625	8.0000	8.0000	10.0000
302	5.2369	1.3682	8.0000	8.0000	10.0000
303	5.2508	1.3739	8.0000	8.0000	10.0000
304	5.2647	1.3796	8.0000	8.0000	10.0000
305	5.2786	1.3853	8.0000	8.0000	10.0000
306	5.2924	1.3910	8.0000	8.0000	10.0000
307	5.3062	1.3967	8.0000	8.0000	10.0000
308	5.3201	1.4023	8.0000	8.0000	10.0000
309	5.3338	1.4081	8.0000	8.0000	10.0000
310	5.3476	1.4138	8.0000	8.0000	10.0000
311	5.3614	1.4195	8.0000	8.0000	10.0000
312	5.3752	1.4252	8.0000	8.0000	10.0000
313	5.3889	1.4309	8.0000	8.0000	10.0000
314	5.4026	1.4366	8.0000	8.0000	10.0000
315	5.4163	1.4423	8.0000	8.0000	10.0000
316	5.4300	1.4480	8.0000	8.0000	10.0000
317	5.4437	1.4538	8.0000	8.0000	10.0000
318	5.4574	1.4595	8.0000	8.0000	10.0000
319	5.4710	1.4652	8.0000	8.0000	10.0000
320	5.4846	1.4710	8.0000	8.0000	10.0000
321	5.4982	1.4767	8.0000	8.0000	10.0000
322	5.5119	1.4824	8.0000	8.0000	10.0000
323	5.5254	1.4882	8.0000	8.0000	10.0000
324	5.5390	1.4939	8.0000	8.0000	10.0000
325	5.5526	1.4997	8.0000	8.0000	10.0000
326	5.5661	1.5054	8.0000	8.0000	10.0000
327	5.5796	1.5112	8.0000	8.0000	10.0000
328	5.5932	1.5169	8.0000	8.0000	10.0000
329	5.6067	1.5227	8.0000	8.0000	10.0000
330	5.6202	1.5284	8.0000	8.0000	10.0000
331	5.6336	1.5342	8.0000	8.0000	10.0000
332	5.6471	1.5400	8.0000	8.0000	10.0000
333	5.6605	1.5457	8.0000	8.0000	10.0000
334	5.6740	1.5515	8.0000	8.0000	10.0000
335	5.6874	1.5573	8.0000	8.0000	10.0000
336	5.7008	1.5631	8.0000	8.0000	10.0000
337	5.7142	1.5688	8.0000	8.0000	10.0000
338	5.7275	1.5746	8.0000	8.0000	10.0000
339	5.7409	1.5804	8.0000	8.0000	10.0000
340	5.7542	1.5862	8.0000	8.0000	10.0000
341	5.7676	1.5920	8.0000	8.0000	10.0000
342	5.7809	1.5978	8.0000	8.0000	10.0000
343	5.7942	1.6036	8.0000	8.0000	10.0000
344	5.8075	1.6094	8.0000	8.0000	10.0000
345	5.8207	1.6152	8.0000	8.0000	10.0000
346	5.8340	1.6210	8.0000	8.0000	10.0000
347	5.8472	1.6268	8.0000	8.0000	10.0000
348	5.8605	1.6326	8.0000	8.0000	10.0000
349	5.8737	1.6384	8.0000	8.0000	10.0000
350	5.8869	1.6442	8.0000	8.0000	10.0000
351	5.9001	1.6500	8.0000	8.0000	10.0000
352	5.9133	1.6558	8.0000	8.0000	10.0000
353	5.9264	1.6616	8.0000	8.0000	10.0000
354	5.9396	1.6674	8.0000	8.0000	10.0000
355	5.9527	1.6733	8.0000	8.0000	10.0000
356	5.9658	1.6791	8.0000	8.0000	10.0000
357	5.9789	1.6849	8.0000	8.0000	10.0000
358	5.9920	1.6907	8.0000	8.0000	10.0000
359	6.0051	1.6966	8.0000	8.0000	10.0000
360	6.0182	1.7024	8.0000	8.0000	10.0000
361	6.0312	1.7082	8.0000	8.0000	10.0000
362	6.0443	1.7141	8.0000	8.0000	10.0000
363	6.0573	1.7199	8.0000	8.0000	10.0000
364	6.0703	1.7257	8.0000	8.0000	10.0000
365	6.0833	1.7316	8.0000	8.0000	10.0000
366	6.0963	1.7374	8.0000	8.0000	10.0000
367	6.1093	1.7433	8.0000	8.0000	10.0000
368	6.1222	1.7491	8.0000	8.0000	10.0000
369	6.1352	1.7550	8.0000	8.0000	10.0000
370	6.1481	1.7608	8.0000	8.0000	10.0000
371	6.1610	1.7667	8.0000	8.0000	10.0000
372	6.1739	1.7725	8.0000	8.0000	10.0000
373	6.1868	1.7784	8.0000	8.0000	10.0000
374	6.1997	1.7843	8.0000	8.0000	10.0000
375	6.2126	1.7901	8.0000	8.0000	10.0000
376	6.2254	1.7960	8.0000	8.0000	10.0000
377	6.2382	1.8019	8.0000	8.0000	10.0000
378	6.2511	1.8077	8.0000	8.0000	10.0000
379	6.2639	1.8136	8.0000	8.0000	10.0000
380	6.2767	1.8195	8.0000	8.0000	10.0000
381	6.2895	1.8254	8.0000	8.0000	10.0000
382	6.3023	1.8312	8.0000	8.0000	10.0000
383	6.3150	1.8371	8.0000	8.0000	10.0000
384	6.3278	1.8430	8.0000	8.0000	10.0000
385	6.3405	1.8489	8.0000	8.0000	10.0000
386	6.3532	1.8548	8.0000	8.0000	10.0000
387	6.3659	1.8606	8.0000	8.0000	10.0000
388	6.3786	1.8665	8.0000	8.0000	10.0000
389	6.3913	1.8724	8.0000	8.0000	10.0000
390	6.4040	1.8783	8.0000	8.0000	10.0000
391	6.4166	1.8842	8.0000	8.0000	10.0000
392	6.4293	1.8901	8.0000	8.0000	10.0000
393	6.4419	1.8960	8.0000	8.0000	10.0000
394	6.4545	1.9019	8.0000	8.0000	10.0000
395	6.4672	1.9078	8.0000	8.0000	10.0000
396	6.4798	1.9137	8.0000	8.0000	10.0000
397	6.4923	1.9196	8.0000	8.0000	10.0000
398	6.5049	1.9255	8.0000	8.0000	10.0000
399	6.5175	1.9314	8.0000	8.0000	10.0000
400	6.5300	1.9373	8.0000	8.0000	10.0000
401	6.5425	1.9432	8.0000	8.0000	10.0000
402	6.5551	1.9491	8.0000	8.0000	10.0000
403	6.5676	1.9551	8.0000	8.0000	10.0000
404	6.5801	1.9610	8.0000	8.0000	10.0000
405	6.5926	1.9669	8.0000	8.0000	10.0000
406	6.6050	1.9728	8.0000	8.0000	10.0000
407	6.6175	1.9787	8.0000	8.0000	10.0000
408	6.6299	1.9847	8.0000	8.0000	10.0000
409	6.6424	1.9906	8.0000	8.0000	10.0000
410	6.6548	1.9965	8.0000	8.0000	10.0000
411	6.6672	2.0024	8.0000	8.0000	10.0000
412	6.6796	2.0084	8.0000	8.0000	10.0000
413	6.6920	2.0143	8.0000	8.0000	10.0000
414	6.7044	2.0202	8.0000	8.0000	10.0000
415	6.7167	2.0262	8.0000	8.0000	10.0000
416	6.7291	2.0321	8.0000	8.0000	10.0000
417	6.7414	2.0380	8.0000	8.0000	10.0000
418	6.7537	2.0440	8.0000	8.0000	10.0000
419	6.7660	2.0499	8.0000	8.0000	10.0000
420	6.7783	2.0558	8.0000	8.0000	10.0000
421	6.7906	2.0618	8.0000	8.0000	10.0000
422	6.8029	2.0677	8.0000	8.0000	10.0000
423	6.8152	2.0737	8.0000	8.0000	10.0000
424	6.8274	2.0796	8.0000	8.0000	10.0000
425	6.8397	2.0856	8.0000	8.0000	10.0000
426	6.8519	2.0915	8.0000	8.0000	10.0000
427	6.8641	2.0975	8.0000	8.0000	10.0000
428	6.8763	2.1034	8.0000	8.0000	10.0000
429	6.8885	2.1094	8.0000	8.0000	10.0000
430	6.9007	2.1153	8.0000	8.0000	10.0000
431	6.9129	2.1213	8.0000	8.0000	10.0000
432	6.9250	2.1272	8.0000	8.0000	10.0000
433	6.9372	2.1332	8.0000	8.0000	10.0000
434	6.9493	2.1392	8.0000	8.0000	10.0000
435	6.9614	2.1451	8.0000	8.0000	10.0000
436	6.9735	2.1511	8.0000	8.0000	10.0000
437	6.9856	2.1571	8.0000	8.0000	10.0000
438	6.9977	2.1630	8.0000	8.0000	10.0000
439	7.0098	2.1690	8.0000	8.0000	10.0000
440	7.0219	2.1750	8.0000	8.0000	10.0000
441	7.0339	2.1809	8.0000	8.0000	10.0000
442	7.0460	2.1869	8.0000	8.0000	10.0000
443	7.0580	2.1929	8.0000	8.0000	10.0000
444	7.0700	2.1988	8.0000	8.0000	10.0000
445	7.0820	2.2048	8.0000	8.0000	10.0000
446	7.0940	2.2108	8.0000	8.0000	10.0000
447	7.1060	2.2168	8.0000	8.0000	10.0000
448	7.1180	2.2228	8.0000	8.0000	10.0000
449	7.1299	2.2287	8.0000	8.0000	10.0000
450	7.1419	2.2347	8.0000	8.0000	10.0000
451	7.1538	2.2407	8.0000	8.0000	10.0000
452	7.1658	2.2467	8.0000	8.0000	10.0000
453	7.1777	2.2527	8.0000	8.0000	10.0000
454	7.1896	2.2586	8.0000	8.0000	10.0000
455	7.2015	2.2646	8.0000	8.0000	10.0000
456	7.2134	2.2706	8.0000	8.0000	10.0000
457	7.2252	2.2766	8.0000	8.0000	10.0000
458	7.2371	2.2826	8.0000	8.0000	10.0000
459	7.2489	2.2886	8.0000	8.0000	10.0000
460	7.2608	2.2946	8.0000	8.0000	10.0000
461	7.2726	2.3006	8.0000	8.0000	10.0000
462	7.2844	2.3066	8.0000	8.0000	10.0000
463	7.2962	2.3126	8.0000	8.0000	10.0000
464	7.3080	2.3186	8.0000	8.0000	10.0000
465	7.3198	2.3246	8.0000	8.0000	10.0000
466	7.3316	2.3306	8.0000	8.0000	10.0000
467	7.3433	2.3366	8.0000	8.0000	10.0000
468	7.3551	2.3426	8.0000	8.0000	10.0000
469	7.3668	2.3486	8.0000	8.0000	10.0000
470	7.3785	2.3546	8.0000	8.0000	10.0000
471	7.3903	2.3606	8.0000	8.0000	10.0000
472	7.4020	2.3666	8.0000	8.0000	10.0000
473	7.4137	2.3726	8.0000	8.0000	10.0000
474	7.4253	2.3786	8.0000	8.0000	10.0000
475	7.4370	2.3846	8.0000	8.0000	10.0000
476	7.4487	2.3906	8.0000	8.0000	10.0000
477	7.4603	2.3966	8.0000	8.0000	10.0000
478	7.4720	2.4026	8.0000	8.0000	10.0000
479	7.4836	2.4086	8.0000	8.0000	10.0000
480	7.4952	2.4147	8.0000	8.0000	10.0000
481	7.5068	2.4207	8.0000	8.0000	10.0000
482	7.5184	2.4267	8.0000	8.0000	10.0000
483	7.5300	2.4327	8.0000	8.0000	10.0000
484	7.5416	2.4387	8.0000	8.0000	10.0000
485	7.5531	2.4447	8.0000	8.0000	10.0000
486	7.5647	2.4508	8.0000	8.0000	10.0000
487	7.5762	2.4568	8.0000	8.0000	10.0000
488	7.5878	2.4628	8.0000	8.0000	10.0000
489	7.5993	2.4688	8.0000	8.0000	10.0000
490	7.6108	2.4748	8.0000	8.0000	10.0000
491	7.6223	2.4809	8.0000	8.0000	10.0000
492	7.6338	2.4869	8.0000	8.0000	10.0000
493	7.6453	2.4929	8.0000	8.0000	10.0000
494	7.6567	2.4989	8.0000	8.0000	10.0000
495	7.6682	2.5050	8.0000	8.0000	10.0000
496	7.6797	2.5110	8.0000	8.0000	10.0000
497	7.6911	2.5170	8.0000	8.0000	10.0000
498	7.7025	2.5230	8.0000	8.0000	10.0000
499	7.7139	2.5291	8.0000	8.0000	10.0000
500	7.7253	2.5351	8.0000	8.0000	10.0000
501	7.7367	2.5411	8.0000	8.0000	10.0000
502	7.7481	2.5472	8.0000	8.0000	10.0000
503	7.7595	2.5532	8.0000	8.0000	10.0000
504	7.7709	2.5592	8.0000	8.0000	10.0000
505	7.7822	2.5653	8.0000	8.0000	10.0000
506	7.7936	2.5713	8.0000	8.0000	10.0000
507	7.8049	2.5773	8.0000	8.0000	10.0000
508	7.8162	2.5834	8.0000	8.0000	10.0000
509	7.8275	2.5894	8.0000	8.0000	10.0000
510	7.8388	2.5955	8.0000	8.0000	10.0000
511	7.8501	2.6015	8.0000	8.0000	10.0000
512	7.8614	2.6075	8.0000	8.0000	9.3473
513	7.8710	2.6136	8.0000	8.0000	7.3249
514	7.8754	2.6196	8.0000	8.0000	6.4045
515	7.8775	2.6256	8.0000	8.0000	5.9855
