x_1	x_2	xref_1	xref_2	u_1
2.5238	0.4448	8.0000	8.0000	10.0000
2.5412	0.4495	8.0000	8.0000	10.0000
2.5586	0.4542	8.0000	8.0000	10.0000
2.5760	0.4589	8.0000	8.0000	10.0000
2.5934	0.4636	8.0000	8.0000	10.0000
2.6107	0.4683	8.0000	8.0000	10.0000
2.6280	0.4731	8.0000	8.0000	10.0000
2.6453	0.4778	8.0000	8.0000	10.0000
2.6625	0.4826	8.0000	8.0000	10.0000
2.6798	0.4873	8.0000	8.0000	10.0000
2.6970	0.4921	8.0000	8.0000	10.0000
2.7141	0.4969	8.0000	8.0000	10.0000
2.7313	0.5017	8.0000	8.0000	10.0000
2.7484	0.5065	8.0000	8.0000	10.0000
2.7655	0.5113	8.0000	8.0000	10.0000
2.7826	0.5161	8.0000	8.0000	10.0000
2.7996	0.5209	8.0000	8.0000	10.0000
2.8166	0.5257	8.0000	8.0000	10.0000
2.8336	0.5306	8.0000	8.0000	10.0000
2.8506	0.5354	8.0000	8.0000	10.0000
2.8675	0.5403	8.0000	8.0000	10.0000
2.8844	0.5452	8.0000	8.0000	10.0000
2.9013	0.5500	8.0000	8.0000	10.0000
2.9182	0.5549	8.0000	8.0000	10.0000
2.9350	0.5598	8.0000	8.0000	10.0000
2.9518	0.5647	8.0000	8.0000	10.0000
2.9686	0.5696	8.0000	8.0000	10.0000
2.9854	0.5745	8.0000	8.0000	10.0000
3.0021	0.5795	8.0000	8.0000	10.0000
3.0188	0.5844	8.0000	8.0000	10.0000
3.0355	0.5893	8.0000	8.0000	10.0000
3.0522	0.5943	8.0000	8.0000	10.0000
3.0688	0.5993	8.0000	8.0000	10.0000
3.0854	0.6042	8.0000	8.0000	10.0000
3.1020	0.6092	8.0000	8.0000	10.0000
3.1186	0.6142	8.0000	8.0000	10.0000
3.1351	0.6192	8.0000	8.0000	10.0000
3.1517	0.6242	8.0000	8.0000	10.0000
3.1682	0.6292	8.0000	8.0000	10.0000
3.1846	0.6342	8.0000	8.0000	10.0000
3.2011	0.6392	8.0000	8.0000	10.0000
3.2175	0.6442	8.0000	8.0000	10.0000
3.2339	0.6493	8.0000	8.0000	10.0000
3.2503	0.6543	8.0000	8.0000	10.0000
3.2667	0.6594	8.0000	8.0000	10.0000
3.2830	0.6644	8.0000	8.0000	10.0000
3.2993	0.6695	8.0000	8.0000	10.0000
3.3156	0.6746	8.0000	8.0000	10.0000
3.3318	0.6796	8.0000	8.0000	10.0000
3.3481	0.6847	8.0000	8.0000	10.0000
3.3643	0.6898	8.0000	8.0000	10.0000
3.3805	0.6949	8.0000	8.0000	10.0000
3.3967	0.7000	8.0000	8.0000	10.0000
3.4128	0.7051	8.0000	8.0000	10.0000
3.4290	0.7102	8.0000	8.0000	10.0000
3.4451	0.7154	8.0000	8.0000	10.0000
3.4612	0.7205	8.0000	8.0000	10.0000
3.4772	0.7256	8.0000	8.0000	10.0000
3.4933	0.7308	8.0000	8.0000	10.0000
3.5093	0.7359	8.0000	8.0000	10.0000
3.5253	0.7411	8.0000	8.0000	10.0000
3.5413	0.7463	8.0000	8.0000	10.0000
3.5572	0.7514	8.0000	8.0000	10.0000
3.5732	0.7566	8.0000	8.0000	10.0000
3.5891	0.7618	8.0000	8.0000	10.0000
3.6050	0.7670	8.0000	8.0000	10.0000
3.6208	0.7722	8.0000	8.0000	10.0000
3.6367	0.7774	8.0000	8.0000	10.0000
3.6525	0.7826	8.0000	8.0000	10.0000
3.6683	0.7878	8.0000	8.0000	10.0000
3.6841	0.7930	8.0000	8.0000	10.0000
3.6999	0.7983	8.0000	8.0000	10.0000
3.7156	0.8035	8.0000	8.0000	10.0000
3.7313	0.8087	8.0000	8.0000	10.0000
3.7470	0.8140	8.0000	8.0000	10.0000
3.7627	0.8192	8.0000	8.0000	10.0000
3.7784	0.8245	8.0000	8.0000	10.0000
3.7940	0.8297	8.0000	8.0000	10.0000
3.8096	0.8350	8.0000	8.0000	10.0000
3.8252	0.8403	8.0000	8.0000	10.0000
3.8408	0.8456	8.0000	8.0000	10.0000
3.8564	0.8508	8.0000	8.0000	10.0000
3.8719	0.8561	8.0000	8.0000	10.0000
3.8874	0.8614	8.0000	8.0000	10.0000
3.9029	0.8667	8.0000	8.0000	10.0000
3.9184	0.8720	8.0000	8.0000	10.0000
3.9339	0.8774	8.0000	8.0000	10.0000
3.9493	0.8827	8.0000	8.0000	10.0000
3.9647	0.8880	8.0000	8.0000	10.0000
3.9801	0.8933	8.0000	8.0000	10.0000
3.9955	0.8987	8.0000	8.0000	10.0000
4.0109	0.9040	8.0000	8.0000	10.0000
4.0262	0.9093	8.0000	8.0000	10.0000
4.0415	0.9147	8.0000	8.0000	10.0000
4.0568	0.9200	8.0000	8.0000	10.0000
4.0721	0.9254	8.0000	8.0000	10.0000
4.0874	0.9308	8.0000	8.0000	10.0000
4.1026	0.9361	8.0000	8.0000	10.0000
4.1179	0.9415	8.0000	8.0000	10.0000
4.1331	0.9469	8.0000	8.0000	10.0000
4.1482	0.9523	8.0000	8.0000	10.0000
4.1634	0.9577	8.0000	8.0000	10.0000
4.1786	0.9631	8.0000	8.0000	10.0000
4.1937	0.9685	8.0000	8.0000	10.0000
4.2088	0.9739	8.0000	8.0000	10.0000
4.2239	0.9793	8.0000	8.0000	10.0000
4.2390	0.9847	8.0000	8.0000	10.0000
4.2540	0.9901	8.0000	8.0000	10.0000
4.2691	0.9955	8.0000	8.0000	10.0000
4.2841	1.0010	8.0000	8.0000	10.0000
4.2991	1.0064	8.0000	8.0000	10.0000
4.3141	1.0118	8.0000	8.0000	10.0000
4.3290	1.0173	8.0000	8.0000	10.0000
4.3440	1.0227	8.0000	8.0000	10.0000
4.3589	1.0282	8.0000	8.0000	10.0000
4.3738	1.0336	8.0000	8.0000	10.0000
4.3887	1.0391	8.0000	8.0000	10.0000
4.4036	1.0445	8.0000	8.0000	10.0000
4.4184	1.0500	8.0000	8.0000	10.0000
4.4333	1.0555	8.0000	8.0000	10.0000
4.4481	1.0610	8.0000	8.0000	10.0000
4.4629	1.0664	8.0000	8.0000	10.0000
4.4777	1.0719	8.0000	8.0000	10.0000
4.4924	1.0774	8.0000	8.0000	10.0000
4.5072	1.0829	8.0000	8.0000	10.0000
4.5219	1.0884	8.0000	8.0000	10.0000
4.5366	1.0939	8.0000	8.0000	10.0000
4.5513	1.0994	8.0000	8.0000	10.0000
